DEBUG 2025-11-05 17:29:56,606 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1761764782.360249
DEBUG 2025-11-05 17:29:56,607 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\relations.py first seen with mtime 1761764786.825216
DEBUG 2025-11-05 17:29:56,607 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1761764780.00095
DEBUG 2025-11-05 17:29:56,607 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1761764786.8262181
DEBUG 2025-11-05 17:29:56,607 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\protocols.py first seen with mtime 1723578007.548509
DEBUG 2025-11-05 17:29:56,607 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1761764786.9820242
DEBUG 2025-11-05 17:29:56,607 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\ssl.py first seen with mtime 1723578020.24676
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py first seen with mtime 1723578012.0588474
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1761764786.8262181
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1761764775.6502585
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_asyncio.pyd first seen with mtime 1723578005.327609
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1761764781.598075
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1761764782.0366518
DEBUG 2025-11-05 17:29:56,608 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1761764782.1632545
DEBUG 2025-11-05 17:29:56,609 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1761754796.329137
DEBUG 2025-11-05 17:29:56,609 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1761764782.1572707
DEBUG 2025-11-05 17:29:56,609 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1761764781.497584
DEBUG 2025-11-05 17:29:56,609 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\http.py first seen with mtime 1761764782.3717203
DEBUG 2025-11-05 17:29:56,609 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_collections.py first seen with mtime 1723578011.5324533
DEBUG 2025-11-05 17:29:56,610 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\lzma.py first seen with mtime 1723578012.041315
DEBUG 2025-11-05 17:29:56,610 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\reprlib.py first seen with mtime 1723578012.1949646
DEBUG 2025-11-05 17:29:56,610 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\linecache.py first seen with mtime 1723578011.7236843
DEBUG 2025-11-05 17:29:56,611 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\routers.py first seen with mtime 1761764786.8273342
DEBUG 2025-11-05 17:29:56,611 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1761764782.399144
DEBUG 2025-11-05 17:29:56,611 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\wsgiref\__init__.py first seen with mtime 1723578020.4700027
DEBUG 2025-11-05 17:29:56,611 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\asgiref\local.py first seen with mtime 1761754816.9107223
DEBUG 2025-11-05 17:29:56,611 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\postgres\lookups.py first seen with mtime 1761764780.012046
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\transports.py first seen with mtime 1723578007.5525212
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\concurrent\futures\thread.py first seen with mtime 1723578007.610579
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\typing.py first seen with mtime 1723578020.3849714
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\pytz\__init__.py first seen with mtime 1761755335.289736
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\contextvars.py first seen with mtime 1723578007.6191566
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Users\user\PycharmProjects\DjangoProject\training_app\views.py first seen with mtime 1761840238.7341106
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1761764780.033712
DEBUG 2025-11-05 17:29:56,613 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\http\client.py first seen with mtime 1723578010.150385
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\ctypes\wintypes.py first seen with mtime 1723578007.6256964
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Users\user\PycharmProjects\DjangoProject\training_app\urls.py first seen with mtime 1761840231.9277978
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1761764782.4235702
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1761764781.6190038
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1761764786.9872127
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_meta.py first seen with mtime 1723578011.533754
DEBUG 2025-11-05 17:29:56,614 autoreload File C:\Users\user\PycharmProjects\DjangoProject\training_app\apps.py first seen with mtime 1761755049.7506678
DEBUG 2025-11-05 17:29:56,616 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1761764782.12438
DEBUG 2025-11-05 17:29:56,616 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1761764782.2886758
DEBUG 2025-11-05 17:29:56,616 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1761764786.9810276
DEBUG 2025-11-05 17:29:56,616 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1761764786.9872127
DEBUG 2025-11-05 17:29:56,617 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\format_helpers.py first seen with mtime 1723578007.546518
DEBUG 2025-11-05 17:29:56,617 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1761764782.0545914
DEBUG 2025-11-05 17:29:56,617 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1761764782.347288
DEBUG 2025-11-05 17:29:56,617 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\_header_value_parser.py first seen with mtime 1723578007.74039
DEBUG 2025-11-05 17:29:56,617 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1761764777.494668
DEBUG 2025-11-05 17:29:56,617 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1761764781.6319604
DEBUG 2025-11-05 17:29:56,618 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\xml\dom\domreg.py first seen with mtime 1723578020.5042567
DEBUG 2025-11-05 17:29:56,618 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1761764781.6767154
DEBUG 2025-11-05 17:29:56,618 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_events.py first seen with mtime 1723578007.5435202
DEBUG 2025-11-05 17:29:56,618 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1761764781.6595242
DEBUG 2025-11-05 17:29:56,618 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1761764782.3403091
DEBUG 2025-11-05 17:29:56,618 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\text.py first seen with mtime 1723578007.7324104
DEBUG 2025-11-05 17:29:56,619 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1761764782.354269
DEBUG 2025-11-05 17:29:56,619 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_adapters.py first seen with mtime 1723578011.5442443
DEBUG 2025-11-05 17:29:56,631 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\unittest\signals.py first seen with mtime 1723578020.3894637
DEBUG 2025-11-05 17:29:56,632 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\staggered.py first seen with mtime 1723578007.550505
DEBUG 2025-11-05 17:29:56,632 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\pytz\exceptions.py first seen with mtime 1761755335.289736
DEBUG 2025-11-05 17:29:56,632 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1761764778.525315
DEBUG 2025-11-05 17:29:56,632 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1761764782.3856761
